Type,Mass,Luminosity,Radius,Temperature,ColorIndex,AbsMag,BoloCorr,BoloMag,ColorRGB
C8V,0.2,9.68e-04,1.86e-01,2396,2.10,17.9,-5.61,12.29,255201125
C8VI,0.2,6.70e-04,1.55e-01,2396,2.10,18.3,-5.61,12.69,255201125
C9Ia0,12.0,7.11e+08,2.31e+05,1990,2.40,-9.0,-8.38,-17.38,255157000
C9Ia,10.0,1.03e+08,8.79e+04,1990,2.40,-6.9,-8.38,-15.28,255157000
C9Ib,8.0,2.15e+07,4.02e+04,1990,2.40,-5.2,-8.38,-13.58,255157000
C9II,6.0,2.83e+06,1.46e+04,1990,2.40,-3.0,-8.38,-11.38,255190091
C9III,4.1,1.79e+05,3.67e+03,1990,2.40,0.0,-8.38,-8.38,255233154
C9IV,2.1,7.91e+03,7.64e+02,2000,2.39,3.3,-8.30,-5.00,255205150
C9V,0.1,4.15e-03,5.53e-01,2000,2.39,19.0,-8.30,10.70,255198108
C9VI,0.1,4.15e-03,5.53e-01,2000,2.39,19.0,-8.30,10.70,255198108
S0Ia0,15.8,1.90e+06,3.46e+03,3700,1.41,-9.3,-1.65,-10.95,255204143
S0Ia,13.3,2.74e+05,1.31e+03,3700,1.41,-7.2,-1.65,-8.85,255204143
S0Ib,10.7,5.73e+04,6.00e+02,3700,1.41,-5.5,-1.65,-7.15,255204143
S0II,8.2,3.96e+03,1.58e+02,3700,1.41,-2.6,-1.65,-4.25,255207133
S0III,5.6,6.89e+02,6.58e+01,3700,1.41,-0.7,-1.65,-2.35,255203132
S0IV,3.1,2.60e+01,1.43e+01,3500,1.49,3.2,-1.99,1.21,255213160
S0V,0.5,1.25e-01,9.90e-01,3500,1.49,9.0,-1.99,7.01,255195139
S0VI,0.2,3.76e-02,5.44e-01,3500,1.49,10.3,-1.99,8.31,255195139
S1Ia0,15.1,2.56e+06,4.46e+03,3510,1.49,-9.3,-1.97,-11.27,255202138
S1Ia,12.7,3.37e+05,1.62e+03,3510,1.49,-7.1,-1.97,-9.07,255202138
S1Ib,10.2,7.73e+04,7.75e+02,3510,1.49,-5.5,-1.97,-7.47,255202138
S1II,7.8,5.86e+03,2.13e+02,3510,1.49,-2.7,-1.97,-4.67,255205128
S1III,5.3,9.29e+02,8.50e+01,3510,1.49,-0.7,-1.97,-2.67,255200121
S1IV,2.9,3.55e+01,1.84e+01,3333,1.57,3.2,-2.33,0.87,255212159
S1V,0.5,6.18e-02,7.68e-01,3333,1.57,10.1,-2.33,7.77,255204142
S1VI,0.2,1.86e-02,4.22e-01,3333,1.57,11.4,-2.33,9.07,255204142
S2Ia0,14.5,3.65e+06,5.95e+03,3320,1.58,-9.3,-2.36,-11.66,255193104
S2Ia,12.1,4.81e+05,2.16e+03,3320,1.58,-7.1,-2.36,-9.46,255193104
S2Ib,9.8,1.10e+05,1.03e+03,3320,1.58,-5.5,-2.36,-7.86,255193104
S2II,7.4,8.36e+03,2.85e+02,3320,1.58,-2.7,-2.36,-5.06,255203124
S2III,5.1,1.21e+03,1.08e+02,3320,1.58,-0.6,-2.36,-2.96,255198118
S2IV,2.7,5.09e+01,2.44e+01,3167,1.65,3.2,-2.72,0.48,255211157
S2V,0.4,3.21e-02,6.14e-01,3167,1.65,11.2,-2.72,8.48,255196131
